01/11/21,,,,,Actual,Previous,Consensus,Forecast,
04:00:00 PM,,US,,Consumer Inflation Expectations DEC,3%,2.96%, ,3%, 
01/13/21,,,,,Actual,Previous,Consensus,Forecast,
01:30:00 PM,,US,,Inflation Rate YoY DEC,1.4%,1.20%,1.3%,1.2%, 
01:30:00 PM,,US,,Core Inflation Rate YoY DEC,1.6%,1.60%,1.6%,1.6%, 
01:30:00 PM,,US,,Inflation Rate MoM DEC,0.4%,0.20%,0.4%,0.3%, 
01:30:00 PM,,US,,Core Inflation Rate MoM DEC,0.1%,0.20%,0.10%,0.10%,
01:30:00 PM,,US,,CPI DEC,260.474,260.229,260.428,, 
01/14/21,,,,,Actual,Previous,Consensus,Forecast,
01:30:00 PM,,US,,Export Prices YoY DEC,0.2%,-1.10%, ,-0.7%, 
01:30:00 PM,,US,,Import Prices YoY DEC,-0.3%,-1.00%, ,-0.8%, 
01:30:00 PM,,US,,Import Prices MoM DEC,0.9%,0.2% ®,0.7%,0.5%, 
01:30:00 PM,,US,,Export Prices MoM DEC,1.1%,0.7% ®,0.4%,0.3%, 
01/15/21,,,,,Actual,Previous,Consensus,Forecast,
01:30:00 PM,,US,,PPI MoM DEC,0.3%,0.10%,0.4%,0.2%, 
01:30:00 PM,,US,,Core PPI MoM DEC,0.1%,0.10%,0.2%,0.1%, 
01:30:00 PM,,US,,Core PPI YoY DEC,1.2%,1.40%,1.3%,1.3%, 
01:30:00 PM,,US,,PPI YoY DEC,0.8%,0.80%,0.8%,0.6%, 
03:00:00 PM,,US,,Michigan Inflation Expectations Prel JAN,3%,2.50%, ,2.1%, 
03:00:00 PM,,US,,Michigan 5 Year Inflation Expectations Prel JAN,2.7%,2.50%, ,2.3%, 
01/28/21,,,,,Actual,Previous,Consensus,Forecast,
01:30:00 PM,,US,,GDP Price Index QoQ Adv Q4,2%,3.30%,2.40%,,
01:30:00 PM,,US,,PCE Prices QoQ Adv Q4,1.5%,3.70%,2.3%,, 
01:30:00 PM,,US,,Core PCE Prices QoQ Adv Q4,1.4%,3.40%,1.5%,, 
01/29/21,,,,,Actual,Previous,Consensus,Forecast,
01:30:00 PM,,US,,PCE Price Index MoM DEC,0.4%,0.00%, ,0.3%, 
01:30:00 PM,,US,,PCE Price Index YoY DEC,1.3%,1.10%, ,1.1%, 
